english,swedish,source,notes
equally correlated distribution,likakorrelerad fördelning,ISI,
equilibrium,jämviktsläge,ISI,
equilibrium distribution,jämviktsfördelning,ISI,
equilibrium renewal process,stationär förnyelseprocess,ISI,
equivalence class,ekvivalensklass,ISI,
equivalence testing,ekvivalenstest,ISI,
equivalent dose,likvärdig dos,ISI,
equivalent samples,likvärdiga stickprov,ISI,
equivariant estimator,ekvivariant estimator,ISI,
ergodic state,ergodiskt tillstånd,ISI,
ergodicity,ergodicitet,ISI,
error,fel,ISI,
error band,felmarginal,ISI,
error function ; Kramp function,felfunktion,ISI,
error function complement,felfunktionskomplement,ISI,
error in equations,fel i ekvationer,ISI,
error mean square,medelkvadratsumma för residualer,ISI,
